DATE,COMMON NAME,SCIENTIFIC NAME,NAME,GENDER,WEIGHT (KG),BCS (9-point scale) ,PLUMAGE
8/30/2021,King penguin,Aptenodytes patagonicus,Zoro,Male,14.75,7,Dull
8/30/2021,King penguin,Aptenodytes patagonicus,Sora,Female,14.35,7,Normal
8/30/2021,King penguin,Aptenodytes patagonicus,Patricia,Female,11.95,6,Normal
8/30/2021,King penguin,Aptenodytes patagonicus,Gloria,Female,14.7,7,Normal
8/30/2021,King penguin,Aptenodytes patagonicus,Hansel,Male,15.5,7,Normal
8/30/2021,King penguin,Aptenodytes patagonicus,Percy,Male,12.95,6,Dull 
8/30/2021,King penguin,Aptenodytes patagonicus,Brix,Female,12.05,7,Normal
8/30/2021,King penguin,Aptenodytes patagonicus,Arlo,Male,15,8,Normal
8/30/2021,King penguin,Aptenodytes patagonicus,Aidan,Male,14.05,7,Bald spot on nape
8/31/2021,Northen Rockhopper penguin,Eudyptes moseleyi,Pierre,Male,2.76,6,Shiny
8/31/2021,Gentoo penguin,Patagonicus papua,Blue,Female,4.1,6,Dull and patchy
8/31/2021,Gentoo penguin,Patagonicus papua,Yellow,Male,4.43,6,Dull and patchy
8/31/2021,Gentoo penguin,Patagonicus papua,Purple,Female,4.87,6,Normal
9/14/2021,Northen Rockhopper penguin,Eudyptes moseleyi,Pierre,Male,2.83,6,Shiny
9/14/2021,Gentoo penguin,Patagonicus papua,Blue,Female,4.17,6,Dull and patchy
9/14/2021,Gentoo penguin,Patagonicus papua,Yellow,Male,4.61,6,Dull and patchy
9/14/2021,Gentoo penguin,Patagonicus papua,Purple,Female,4.95,6,Normal
9/16/2021,King penguin,Aptenodytes patagonicus,Zoro,Male,15.1,6,Dull
9/16/2021,King penguin,Aptenodytes patagonicus,Sora,Female,14.35,8,Normal
9/16/2021,King penguin,Aptenodytes patagonicus,Patricia,Female,11.75,6,Normal
9/16/2021,King penguin,Aptenodytes patagonicus,Gloria,Female,14.3,7,Normal
9/16/2021,King penguin,Aptenodytes patagonicus,Hansel,Male,16.2,8,Normal
9/16/2021,King penguin,Aptenodytes patagonicus,Percy,Male,12.45,6,Dull
9/16/2021,King penguin,Aptenodytes patagonicus,Brix,Female,12,6,Normal
9/16/2021,King penguin,Aptenodytes patagonicus,Arlo,Male,15.15,8,Normal
9/16/2021,King penguin,Aptenodytes patagonicus,Aidan,Male,14.45,7,Bald spot on nape
9/29/2021,King penguin,Aptenodytes patagonicus,Zoro,Male,14.7,6,Dull
9/29/2021,King penguin,Aptenodytes patagonicus,Sora,Female,14.35,7,Normal
9/29/2021,King penguin,Aptenodytes patagonicus,Patricia,Female,11.8,7,Normal
9/29/2021,King penguin,Aptenodytes patagonicus,Gloria,Female,13.75,6,Normal
9/29/2021,King penguin,Aptenodytes patagonicus,Hansel,Male,15.85,8,Normal
9/29/2021,King penguin,Aptenodytes patagonicus,Percy,Male,12.5,6,Dull
9/29/2021,King penguin,Aptenodytes patagonicus,Brix,Female,12.05,6,Normal
9/29/2021,King penguin,Aptenodytes patagonicus,Arlo,Male,15.3,8,Normal
9/29/2021,King penguin,Aptenodytes patagonicus,Aidan,Male,14.15,7,Bald spot on nape
9/29/2021,Northen Rockhopper penguin,Eudyptes moseleyi,Pierre,Male,2.8,6,Shiny
9/29/2021,Gentoo penguin,Patagonicus papua,Blue,Female,4.2,6,Dull and patchy
9/29/2021,Gentoo penguin,Patagonicus papua,Yellow,Male,4.6,6,Dull and patchy
9/29/2021,Gentoo penguin,Patagonicus papua,Purple,Female,4.7,6,Normal
10/11/2021,King penguin,Aptenodytes patagonicus,Zoro,Male,14.8,6,Dull
10/11/2021,King penguin,Aptenodytes patagonicus,Sora,Female,14.45,7,Normal
10/11/2021,King penguin,Aptenodytes patagonicus,Patricia,Female,11.55,6,Normal
10/11/2021,King penguin,Aptenodytes patagonicus,Gloria,Female,13.5,6,Normal
10/11/2021,King penguin,Aptenodytes patagonicus,Hansel,Male,16.35,7,Normal
10/11/2021,King penguin,Aptenodytes patagonicus,Percy,Male,12.15,6,Dull
10/11/2021,King penguin,Aptenodytes patagonicus,Brix,Female,12.25,6,Normal
10/11/2021,King penguin,Aptenodytes patagonicus,Arlo,Male,15.8,8,Fluffed up
10/11/2021,King penguin,Aptenodytes patagonicus,Aidan,Male,13.3,7,Bald spot on nape
10/11/2021,Gentoo penguin,Patagonicus papua,Blue,Female,4.1,6,Dull and patchy
10/11/2021,Gentoo penguin,Patagonicus papua,Yellow,Male,4.45,6,Dull and patchy
10/11/2021,Gentoo penguin,Patagonicus papua,Purple,Female,4.6,6,Normal
10/12/2021,Northen Rockhopper penguin,Eudyptes moseleyi,Pierre,Male,2.73,6,Shiny
10/25/2021,King penguin,Aptenodytes patagonicus,Zoro,Male,15.65,6,Dull
10/25/2021,King penguin,Aptenodytes patagonicus,Sora,Female,14.35,7,Normal
10/25/2021,King penguin,Aptenodytes patagonicus,Patricia,Female,11.6,6,Normal
10/25/2021,King penguin,Aptenodytes patagonicus,Gloria,Female,13.4,6,Normal
10/25/2021,King penguin,Aptenodytes patagonicus,Hansel,Male,16.6,7,Normal
10/25/2021,King penguin,Aptenodytes patagonicus,Percy,Male,12.1,6,Dull
10/25/2021,King penguin,Aptenodytes patagonicus,Brix,Female,12.7,6,Normal
10/25/2021,King penguin,Aptenodytes patagonicus,Arlo,Male,19,8,Moulting
10/25/2021,King penguin,Aptenodytes patagonicus,Aidan,Male,13.4,7,Bald spot on nape
10/25/2021,Northen Rockhopper penguin,Eudyptes moseleyi,Pierre,Male,2.7,6,Shiny
10/25/2021,Gentoo penguin,Patagonicus papua,Blue,Female,4.1,6,Dull and patchy
10/25/2021,Gentoo penguin,Patagonicus papua,Yellow,Male,4.45,6,Dull and patchy
10/25/2021,Gentoo penguin,Patagonicus papua,Purple,Female,4.62,6,Normal
