DATE,ZORO,SORA,PATRICIA,GLORIA,HANSEL,PERCY,BRIX,ARLO,AIDAN,PIERRE ,BLUE,YELLOW,PURPLE
2/11/21,,,5,,,,,,,,,,
8/11/21,,,3,,,,,,,,,,
14/11/21,,,,,,,,,,1,,,
17/11/21,,,,,,,10,,,3,,,
19/11/21,,,,5,,,5,,,1,,,
20/11/21,,,11,,,,5,,,7,,,
22/11/21,,,10,,,,8,,,9,,,
25/11/21,,,,,,,10,,,7,,,
26/11/21,,,5,,,,4,,,9,,,
27/11/21,,,,,,,8,,,,,,
29/11/21,,,10,,,,8,,,,,,2
3/12/21,,,8,,,,8,,,,,,
6/12/21,,,9,,,,8,,,,,,
7/12/21,,,9,,3,,5,,,,,,
10/12/21,,,5,,,,5,,,,,,
11/12/21,,,5,,,,5,,,,,,
13/12/21,,,6,,,,5,,,,,,
18/12/21,,,8,,3,,5,,,,,,
19/12/21,,,,,,,5,,,1,,,
20/12/21,,,5,,,,,,,,,,
22/12/21,,,5,,,,5,,,1,,,
23/12/21,,,,,,,,,,2,,,
25/12/21,,,,,,,,,,1,,,
26/12/21,,,5,,,,,,,2,,,
27/12/21,,,,,,,,,,4,,,
29/12/21,,,,,,,,,,7,,,
31/12/21,,,,,,,,,,3,,,
3/1/22,,,,,,,,,,1,,,
4/1/22,,,8,,,,,,,1,,,
9/1/22,,,,,,,4,,,4,,,
12/1/22,,,4,,,,,,,2,,,
19/1/22,,,,,,,5,,,,,,
20/1/22,,,,,,,5,,,5,,,
24/1/22,,,,,,,5,,,2,,,
25/1/22,,,,,,,5,,,4,,2,
27/1/22,,,4,,,,5,,,4,,,
30/1/22,,,5,,,,5,,,3,,,
3/2/22,,,5,,,,10,,,7,,,
4/2/22,,,,,,,5,,,3,,,
6/2/22,,,,,,,,,,2,,,
7/2/22,,,,,,,5,,,5,,,
11/2/22,,,5,,,,5,,,3,,,
14/2/22,,,4,,,,5,,,4,,,
24/2/22,,,4,,,,5,,,5,,,
27/2/22,,,5,,1,,5,,,6,,,
6/3/22,,,5,,,,5,,,4,,,
7/3/22,,,,,3,,3,,2,8,,,
8/3/22,,,,3,6,,,,,1,,,
9/3/22,,,,,,,3,,3,3,,,
14/3/22,,,,,,,3,,,4,,,
15/3/22,,,,,,,9,9,4,2,,,
20/3/22,,,6,5,9,,12,9,4,,,,
21/3/22,,,5,,,,9,,3,,,,
24/3/22,,,4,4,,,6,,,,,,
27/3/22,,,6,5,,,9,6,5,,,,
28/3/22,,,5,5,,,12,6,6,,,,
31/3/22,,,4,,,,6,12,3,3,,,
